net,length_um
wrapper_inst.digital_domain_inst.delay_wave_cycle_y\[0\],330.09µm
wrapper_inst.digital_domain_inst.wave_controller_x_inst.capture_step\[0\],329.99µm
net50,328.77µm
_03443_,328.72µm
net430,328.72µm
net915,328.41µm
net832,328.21µm
_03895_,328.16µm
net844,326.53µm
net2369,325.92µm
net2184,325.46µm
_05783_,325.41µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[8\],324.85µm
net1568,324.49µm
_05989_,324.34µm
net1522,323.78µm
net108,321.55µm
net1744,319.81µm
net403,319.3µm
net2028,318.13µm
net1773,317.72µm
wrapper_inst.digital_domain_inst.cfg_f_MEMS_fcw_y\[7\],317.11µm
net1422,316.65µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_y\[6\],316.6µm
clknet_leaf_25_clk,315.94µm
_04401_,315.84µm
wrapper_inst.digital_domain_inst.delay_wave_cycle_y\[1\],315.38µm
net721,314.87µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_y\[15\],313.65µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_y\[11\],312.53µm
_05912_,309.78µm
net101,309.73µm
_03581_,309.27µm
clknet_4_12_0_clk,308.76µm
net1756,308.66µm
net1118,308.05µm
net1334,307.59µm
clknet_4_0_0_clk,306.47µm
net564,305.81µm
clknet_4_8_0_clk,305.3µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_y\[18\],305.25µm
_03478_,304.84µm
wrapper_inst.digital_domain_inst.phase_state_y\[0\],304.84µm
net1415,304.84µm
net797,304.16µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_y\[14\],303.62µm
net1541,303.57µm
net1960,303.11µm
_05917_,302.55µm
_05681_,300.46µm
net1742,300.21µm
net369,299.75µm
_03511_,298.58µm
net1497,298.58µm
net2222,298.48µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_y\[20\],297µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[10\],296.57µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_x\[17\],296.44µm
net1743,296.44µm
net103,296.34µm
wrapper_inst.digital_domain_inst.raw_edge3_y\[6\],295.83µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_x\[14\],295.78µm
wrapper_inst.digital_domain_inst.raw_edge3_y\[2\],294.71µm
_03532_,294.66µm
net1576,294.25µm
net1561,294.2µm
net1560,290.84µm
wrapper_inst.digital_domain_inst.cfg_f_MEMS_fcw_x\[0\],290.74µm
_05351_,289.57µm
net224,289.06µm
net1507,288.65µm
clknet_4_10_0_clk,288.6µm
net21,288.4µm
net1704,287.91µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[18\],287.68µm
clknet_4_2_0_clk,287.58µm
net1240,287.43µm
net1570,287.33µm
net2175,287.28µm
net499,286.77µm
net593,286.36µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_y\[16\],286.31µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_x\[1\],285.88µm
net802,285.81µm
net1559,285.09µm
_00754_,284.73µm
_02684_,284.48µm
_05980_,284.48µm
net589,284.17µm
_06010_,282.24µm
net1499,281.93µm
net1498,281.78µm
net2183,281.22µm
wrapper_inst.digital_domain_inst.cal_phase0_offset_x\[1\],280.1µm
net2401,280.05µm
net12,280µm
net65,279.49µm
net1,279.44µm
net1496,278.98µm
net557,278.93µm
net2032,278.93µm
net1409,278.47µm
clknet_4_7_0_clk,278.37µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_y\[8\],277.91µm
net1629,277.91µm
wrapper_inst.digital_domain_inst.raw_edge3_x\[6\],277.3µm
wrapper_inst.digital_domain_inst.raw_edge1_y\[0\],276.43µm
net815,276.13µm
net1574,275.62µm
net1143,275.21µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[0\],275.11µm
net812,275.06µm
net523,275.01µm
net1521,275.01µm
net1573,275.01µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_x\[14\],274.6µm
wrapper_inst.digital_domain_inst.cal_phase0_offset_x\[0\],273.94µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_x\[15\],273.89µm
net1923,273.84µm
wrapper_inst.digital_domain_inst.raw_edge1_x\[6\],273.58µm
net2173,273.28µm
net606,272.82µm
net2082,272.31µm
net2180,272.31µm
_05315_,272.21µm
_01574_,272.16µm
net732,271.7µm
net433,271.65µm
clknet_4_15_0_clk,271.24µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_x\[18\],270.73µm
net1696,270.58µm
_01415_,270.02µm
_03477_,270.02µm
net44,269.97µm
net1305,269.51µm
net2100,269.46µm
net228,269.41µm
net649,268.8µm
net758,268.44µm
_02426_,268.29µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_y\[4\],268.03µm
net547,267.73µm
net1408,267.22µm
net2275,266.71µm
net535,266.56µm
net567,266.2µm
wrapper_inst.digital_domain_inst.raw_edge3_x\[4\],266.15µm
net2067,266µm
net2185,265.64µm
net427,265.54µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_x\[7\],265.49µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[14\],265.03µm
net1692,264.88µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[12\],264.42µm
net607,263.76µm
net381,263.3µm
_05474_,262.63µm
wrapper_inst.digital_domain_inst.raw_edge3_y\[11\],262.38µm
net1995,262.13µm
net1482,261.9µm
net2555,261.67µm
net819,261.52µm
clknet_4_3_0_clk,260.5µm
clknet_leaf_59_clk,259.58µm
net737,259.43µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_x\[18\],258.87µm
net1553,258.36µm
net48,258.31µm
_04647_,257.99µm
net551,257.7µm
_05332_,257.6µm
wrapper_inst.digital_domain_inst.raw_edge3_x\[19\],257.07µm
net1033,256.48µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_x\[15\],256.12µm
net913,256.02µm
net2366,255.97µm
_05852_,255.36µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_x\[12\],254.95µm
net2011,254.86µm
net2179,254.85µm
