net,length_um
net404,318.69µm
net666,318.69µm
digital_domain_inst.cfg_f_MEMS_fcw_y\[11\],317.11µm
net1376,317.11µm
digital_domain_inst.cfg_phase90_offset_y\[16\],316.73µm
net1445,315.99µm
digital_domain_inst.raw_edge3_x\[4\],315.89µm
digital_domain_inst.wave_controller_y_inst.phase_acc\[1\],314.82µm
digital_domain_inst.cfg_phase90_offset_x\[20\],314.72µm
digital_domain_inst.raw_edge3_y\[12\],313.8µm
net1314,313.64µm
net1499,313.6µm
digital_domain_inst.raw_edge3_y\[5\],313.01µm
net730,312.02µm
digital_domain_inst.spi_regs_inst.rw_n,310.39µm
net1462,310.34µm
net1474,309.88µm
net1451,309.83µm
net1418,309.22µm
_03922_,309.12µm
net937,308.76µm
net1824,308.71µm
net130,308.66µm
net877,308.2µm
_05772_,308.05µm
net233,308µm
_03704_,307.54µm
net163,306.42µm
_03567_,304.79µm
net1446,304.23µm
net1208,304.13µm
net936,303.62µm
net243,303.01µm
net940,302.55µm
net928,301.94µm
_02364_,301.89µm
clknet_leaf_18_clk_regs,301.07µm
net1270,300.36µm
digital_domain_inst.signal_processor_y_inst.votes_in_phase\[2\],300.21µm
net810,299.14µm
_03951_,299.04µm
net1661,298.68µm
net245,298.07µm
net1515,297.61µm
net1323,297.05µm
_01243_,296.8µm
_02755_,296.8µm
net1143,295.32µm
digital_domain_inst.cfg_phase90_offset_x\[0\],294.76µm
net1568,294.56µm
net1514,293.59µm
net1452,292.98µm
digital_domain_inst.cfg_phase270_offset_x\[10\],292.93µm
net498,291.24µm
net1441,290.18µm
_01500_,289.06µm
digital_domain_inst.signal_processor_x_inst.votes_in_phase\[3\],288.45µm
net1455,288.45µm
net1456,288.4µm
digital_domain_inst.cfg_phase270_offset_x\[19\],286.82µm
net1329,286.82µm
net1327,286.72µm
_05041_,286.31µm
net12,286.21µm
_02778_,285.65µm
digital_domain_inst.cfg_phase270_offset_y\[9\],285.24µm
digital_domain_inst.raw_edge3_y\[16\],285.19µm
net1512,284.53µm
net111,284.07µm
net203,283.97µm
_00777_,283.51µm
_03495_,283.41µm
digital_domain_inst.spi_regs_inst.reg_wr_data\[7\],283.41µm
_01569_,282.24µm
net1796,281.83µm
digital_domain_inst.raw_edge3_y\[4\],281.32µm
digital_domain_inst.cfg_phase270_offset_y\[13\],281.27µm
_04097_,281.17µm
net1828,281.12µm
net240,280.15µm
_01317_,279.54µm
net944,279.54µm
net1443,279.44µm
net1454,278.47µm
_01534_,278.37µm
_05550_,278.32µm
clknet_leaf_48_clk_regs,276.99µm
_02387_,276.84µm
delaynet_1_clk,276.74µm
net714,276.28µm
net1069,276.28µm
digital_domain_inst.cfg_phase90_offset_x\[14\],275.72µm
net1962,275.06µm
net1781,275.01µm
net1516,274.55µm
_01524_,274.19µm
net963,274.09µm
_04219_,273.99µm
digital_domain_inst.cfg_phase0_offset_y\[16\],273.38µm
net1328,272.77µm
net1390,272.31µm
net1273,272.16µm
net1590,271.65µm
net787,271.14µm
net1268,270.73µm
digital_domain_inst.cfg_phase0_offset_x\[14\],269.66µm
digital_domain_inst.cfg_phase90_offset_x\[10\],269.41µm
delaynet_0_clk,269.41µm
delaynet_2_clk,269.36µm
digital_domain_inst.cfg_phase270_offset_y\[20\],268.44µm
net1848,267.98µm
net1834,267.68µm
net1450,266.1µm
digital_domain_inst.raw_edge3_y\[20\],265.64µm
_03855_,265.54µm
digital_domain_inst.raw_edge2_x\[17\],265.54µm
_03864_,265.03µm
digital_domain_inst.cfg_phase270_offset_x\[12\],265.03µm
net1162,264.93µm
net1808,264.88µm
digital_domain_inst.cfg_phase0_offset_y\[18\],263.91µm
_03661_,263.81µm
digital_domain_inst.signal_processor_y_inst.votes_out_phase\[1\],263.81µm
digital_domain_inst.cfg_phase90_offset_x\[7\],262.84µm
net1792,262.74µm
digital_domain_inst.cal_dir_x,262.08µm
