net,length_um
digital_domain_inst.cfg_phase270_offset_y\[20\],325.97µm
net5,325.92µm
net1500,325.51µm
net1469,324.95µm
net1668,323.8µm
_02323_,323.38µm
net1851,323.22µm
net1856,322.1µm
net1433,321.69µm
net1662,321.05µm
net1097,321.03µm
net1836,319.91µm
net483,319.82µm
net1485,319.45µm
net1320,319.25µm
net1813,318.64µm
net1875,318.55µm
net1883,318.32µm
_00544_,318.28µm
net1812,318.18µm
net1434,316.55µm
net1855,316.5µm
_03905_,316.4µm
_00883_,315.99µm
net1831,315.94µm
net2219,315.94µm
net1801,315.89µm
digital_domain_inst.spi_regs_inst.spi_addr\[5\],315.16µm
net1709,314.82µm
net384,314.26µm
_00577_,314.03µm
net1290,313.65µm
_03921_,313.24µm
net774,311.56µm
net1118,309.78µm
net1421,309.22µm
net1842,309.22µm
_03676_,309.18µm
net913,308.1µm
net1755,307.59µm
net170,306.98µm
net1444,306.93µm
_03721_,305.86µm
net1238,305.79µm
digital_domain_inst.cfg_phase0_offset_x\[9\],305.35µm
net171,305.15µm
net1331,304.7µm
net1439,303.67µm
net267,303.62µm
_01484_,302.75µm
net750,302.55µm
net1425,302.5µm
net9,302.4µm
net1310,301.91µm
net1987,301.89µm
clknet_leaf_44_clk_regs,301.58µm
net2000,301.18µm
clknet_leaf_17_clk_regs,300.97µm
net1240,299.7µm
digital_domain_inst.cfg_phase0_offset_x\[11\],298.78µm
_02572_,298.63µm
_00696_,298.58µm
net1846,297.97µm
net198,297.69µm
net1226,297.46µm
clknet_leaf_6_clk_regs,295.42µm
_00756_,295.26µm
net1848,294.76µm
net1295,294.71µm
net621,294.1µm
net766,293.59µm
net689,293.57µm
digital_domain_inst.cfg_phase0_offset_y\[4\],292.7µm
_03679_,292.42µm
digital_domain_inst.cfg_phase0_offset_x\[13\],292.42µm
_04025_,292.32µm
net1581,292µm
net1180,291.96µm
net1254,291.81µm
net288,290.84µm
net1840,290.64µm
clknet_leaf_42_clk_regs,290.33µm
net1815,290.18µm
net1230,290.13µm
net1635,289.52µm
_01457_,288.9µm
net1839,288.55µm
net464,288.54µm
net1811,288.5µm
net808,287.43µm
net199,287.08µm
digital_domain_inst.cfg_phase0_offset_y\[1\],286.73µm
net1253,285.65µm
net1256,285.19µm
net1712,285.13µm
_00000_,285.09µm
clknet_leaf_24_clk_regs,284.27µm
_00754_,283.97µm
digital_domain_inst.cfg_phase0_offset_y\[3\],283.43µm
digital_domain_inst.cfg_phase0_offset_x\[12\],283.1µm
_03996_,282.46µm
_03219_,282.42µm
net189,281.22µm
net1292,281.22µm
_02394_,280.5µm
net1263,280.1µm
_00546_,280.05µm
_01450_,280.05µm
_01494_,279.66µm
digital_domain_inst.raw_edge3_x\[14\],279.59µm
_00121_,279.37µm
net168,279.36µm
net770,279.13µm
net753,278.98µm
net1329,278.42µm
digital_domain_inst.spi_regs_inst.bit_cnt\[0\],278.08µm
_02574_,277.81µm
net1231,277.45µm
net567,277.35µm
_01448_,277.3µm
_04145_,276.64µm
net276,276.37µm
digital_domain_inst.cfg_phase270_offset_x\[0\],276.15µm
_04028_,276.13µm
net1628,275.97µm
digital_domain_inst.cfg_phase90_offset_y\[17\],274.5µm
net1304,273.99µm
_04027_,273.94µm
_02308_,273.89µm
clknet_leaf_12_clk_regs,273.68µm
_00743_,272.36µm
digital_domain_inst.raw_edge3_x\[13\],272.21µm
net1233,272.21µm
net1424,271.44µm
net1849,271.19µm
net1438,270.63µm
digital_domain_inst.cfg_phase270_offset_y\[2\],270.53µm
net1853,269.97µm
net1854,269.97µm
net1427,269µm
net468,268.9µm
net1429,268.9µm
_02011_,268.43µm
digital_domain_inst.raw_edge3_x\[11\],268.39µm
net934,268.39µm
net1419,268.39µm
_03855_,268.29µm
net1352,268.29µm
digital_domain_inst.cfg_phase0_offset_y\[5\],267.84µm
net1501,267.83µm
net1843,267.72µm
clknet_leaf_10_clk_regs,267.62µm
net474,267.32µm
clknet_leaf_36_clk_regs,267.06µm
net1445,266.61µm
net533,266.56µm
net855,265.57µm
_00688_,265.54µm
_00658_,265.13µm
net936,264.98µm
net2218,264.98µm
net103,264.47µm
net680,264.06µm
net2232,263.25µm
_00697_,262.69µm
clknet_leaf_41_clk_regs,262.43µm
digital_domain_inst.raw_edge3_y\[2\],262.33µm
_03901_,262.19µm
net1575,262.1µm
net1458,261.69µm
_00695_,261.57µm
_01510_,261.52µm
_00720_,261.16µm
clknet_leaf_43_clk_regs,261.16µm
_03520_,260.96µm
_05033_,260.96µm
_04314_,260.65µm
net1845,260.45µm
clknet_leaf_29_clk_regs,260.09µm
net1270,259.89µm
digital_domain_inst.raw_edge1_x\[13\],259.28µm
_00746_,258.87µm
net167,258.82µm
net1731,258.49µm
digital_domain_inst.raw_edge3_x\[10\],258.36µm
_00578_,258.31µm
digital_domain_inst.raw_edge1_y\[8\],258.26µm
net1800,258.16µm
clknet_leaf_2_clk_regs,257.85µm
_01531_,257.75µm
net1960,257.75µm
net895,257.7µm
net1850,257.7µm
net1717,256.6µm
net625,256.55µm
digital_domain_inst.spi_regs_inst.sclk_sync\[1\],256.53µm
_02312_,256.13µm
net919,255.46µm
net1105,255µm
net932,254.44µm
_01546_,254.29µm
net1772,254.29µm
net166,254.24µm
_01563_,253.94µm
net1784,253.73µm
_03870_,253.36µm
net1265,253.22µm
net385,252.05µm
digital_domain_inst.raw_edge3_x\[5\],251.77µm
digital_domain_inst.cfg_phase0_offset_x\[3\],251.64µm
net1452,251.64µm
net1235,251.54µm
net274,250.72µm
net920,250.42µm
net1227,250.42µm
net1620,250.42µm
digital_domain_inst.cfg_phase270_offset_y\[8\],250.12µm
_04115_,249.58µm
_03865_,249.45µm
net263,249.3µm
net369,249.05µm
digital_domain_inst.cfg_phase270_offset_y\[17\],248.13µm
net1420,247.57µm
net2278,247.2µm
_03979_,247.06µm
net1481,247.06µm
net2215,247.06µm
net424,246.79µm
_00670_,246.5µm
net371,246.5µm
net1742,245.89µm
_04052_,245.84µm
_00776_,245.28µm
net637,244.92µm
net681,244.77µm
_01182_,244.72µm
clknet_leaf_31_clk_regs,244.46µm
_01542_,244.17µm
net1498,244.16µm
digital_domain_inst.soft_rst,243.79µm
digital_domain_inst.cfg_phase270_offset_y\[16\],243.7µm
net1350,243.6µm
digital_domain_inst.cfg_phase90_offset_y\[7\],243.52µm
net1663,243.19µm
net500,243.09µm
net1838,242.94µm
_01515_,242.32µm
net1918,242.02µm
net1763,241.5µm
_00691_,241.41µm
clknet_leaf_16_clk_regs,240.85µm
_00705_,240.54µm
net856,240.34µm
net614,239.79µm
_02327_,239.27µm
net1495,239.12µm
net1228,238.61µm
net1237,238.56µm
_01500_,238.43µm
net790,238.38µm
_00669_,238.1µm
clknet_leaf_45_clk_regs,237.79µm
digital_domain_inst.cfg_phase90_offset_y\[16\],236.98µm
digital_domain_inst.raw_edge2_x\[9\],236.98µm
_03553_,236.93µm
net1739,236.87µm
net888,236.42µm
