net,length_um
cfg_phase90_offset_x\[11\],291.45µm
net413,291.26µm
wave_controller_x_inst/net65,291.05µm
delay_wave_cycle_y\[3\],290.79µm
spi_regs_inst/net477,290.74µm
wave_controller_x_inst/net157,290.38µm
cfg_phase90_offset_x\[2\],290.18µm
cfg_phase270_offset_y\[0\],289.66µm
cfg_phase90_offset_x\[15\],289.54µm
cfg_phase90_offset_x\[20\],289.46µm
cal_dir_x,288.6µm
raw_edge1_x\[19\],288.19µm
net513,288.19µm
cfg_phase90_offset_x\[9\],287.6µm
delay_wave_cycle_x\[0\],287.43µm
net448,284.93µm
raw_edge3_x\[10\],284.63µm
cfg_phase0_offset_x\[11\],284.02µm
spi_regs_inst/net264,282.96µm
cfg_phase270_offset_y\[8\],282.29µm
net421,282.29µm
cfg_phase270_offset_x\[17\],282.07µm
net535,281.98µm
cfg_phase0_offset_x\[4\],281.37µm
raw_edge2_y\[8\],281.22µm
votes_out_phase_x\[0\],280.82µm
raw_edge1_y\[15\],280.2µm
raw_edge2_y\[10\],280.15µm
raw_edge3_x\[11\],280.15µm
wave_controller_x_inst/net75,279.13µm
cal_phase0_offset_y\[1\],279.03µm
wave_controller_x_inst/phase_acc\[12\],277.4µm
cfg_phase270_offset_y\[17\],276.45µm
wave_controller_y_inst/net55,275.72µm
net416,275.72µm
spi_regs_inst/net230,274.14µm
clknet_leaf_44_clk,274.09µm
net384,274.04µm
raw_edge3_x\[12\],273.48µm
raw_edge3_x\[9\],273.38µm
spi_regs_inst/net281,273.38µm
net510,273.15µm
wave_controller_x_inst/net436,272.92µm
spi_regs_inst/net460,272.51µm
net455,271.29µm
wave_controller_y_inst/net51,270.27µm
raw_edge2_y\[7\],269.71µm
raw_edge1_x\[13\],269µm
delay_wave_cycle_x\[3\],268.54µm
net446,268.34µm
spi_regs_inst/_0622_,268.06µm
delay_wave_cycle_x\[5\],267.98µm
spi_regs_inst/_0271_,267.88µm
wave_controller_x_inst/net67,267.88µm
raw_edge2_y\[14\],267.47µm
raw_edge1_x\[10\],266.3µm
wave_controller_y_inst/net132,266.2µm
net417,265.64µm
cfg_phase90_offset_x\[8\],265.08µm
raw_edge3_y\[8\],265.08µm
spi_regs_inst/net207,263.45µm
wave_controller_y_inst/net56,263.4µm
net507,263.35µm
net584,262.64µm
raw_edge2_y\[20\],261.11µm
wave_controller_y_inst/_0491_,261.01µm
spi_regs_inst/net208,260.86µm
net523,260.8µm
spi_regs_inst/_0682_,260.55µm
wave_controller_y_inst/net400,260.32µm
spi_regs_inst/net482,259.43µm
net415,259.38µm
net499,258.87µm
votes_out_phase_x\[2\],258.77µm
net501,258.36µm
raw_edge3_x\[5\],258.26µm
net530,258.05µm
net493,256.68µm
cfg_phase270_offset_y\[14\],256.63µm
wave_controller_x_inst/net176,256.12µm
cfg_phase90_offset_x\[10\],255.1µm
wave_controller_y_inst/net540,255.1µm
wave_controller_y_inst/phase_acc\[12\],254.95µm
wave_controller_x_inst/net431,253.78µm
clknet_leaf_53_clk,253.37µm
wave_controller_y_inst/net556,253.32µm
cfg_phase90_offset_x\[3\],253.27µm
cfg_phase90_offset_x\[17\],253.22µm
clknet_leaf_35_clk,253.22µm
wave_controller_x_inst/net73,252.76µm
cfg_phase90_offset_x\[18\],252.5µm
raw_edge1_y\[18\],252.35µm
raw_edge2_x\[0\],252.05µm
net442,251.69µm
cfg_phase270_offset_x\[0\],251.64µm
raw_edge2_y\[18\],251.13µm
spi_regs_inst/_0598_,251.11µm
raw_edge3_x\[14\],250.98µm
cfg_phase270_offset_x\[13\],250.57µm
wave_controller_y_inst/_1350_,249.4µm
votes_out_phase_y\[2\],248.33µm
delay_wave_cycle_y\[1\],248.23µm
wave_controller_y_inst/net502,247.57µm
spi_regs_inst/_0563_,247.16µm
raw_edge3_x\[19\],246.45µm
spi_regs_inst/net94,246.45µm
raw_edge3_x\[13\],246.04µm
wave_controller_y_inst/net356,246.04µm
cfg_phase0_offset_x\[0\],245.98µm
wave_controller_x_inst/net158,245.89µm
wave_controller_x_inst/net72,245.38µm
wave_controller_x_inst/net375,245.12µm
net520,244.56µm
cfg_phase0_offset_x\[20\],244.26µm
clknet_leaf_31_clk,243.9µm
spi_regs_inst/_0607_,242.55µm
cfg_phase270_offset_x\[8\],242.07µm
raw_edge1_y\[12\],241.92µm
wave_controller_x_inst/_1350_,241.86µm
wave_controller_x_inst/net427,241.81µm
jitter_flag_y,241.46µm
spi_regs_inst/net284,240.95µm
latch_error_x,240.85µm
raw_edge2_y\[19\],240.44µm
raw_edge3_y\[15\],239.32µm
raw_edge1_x\[16\],237.84µm
raw_edge3_y\[16\],237.59µm
cfg_phase270_offset_y\[16\],236.62µm
spi_regs_inst/_0208_,236.47µm
raw_edge3_x\[2\],235.91µm
cfg_phase90_offset_y\[8\],235.55µm
wave_controller_y_inst/net412,235.5µm
net453,235.4µm
cfg_f_MEMS_fcw_y\[8\],234.79µm
raw_edge1_y\[13\],234.79µm
cfg_phase90_offset_x\[16\],234.69µm
spi_regs_inst/net206,234.46µm
spi_regs_inst/_0675_,233.72µm
raw_edge1_y\[5\],233.67µm
cal_phase270_offset_y\[7\],233.62µm
wave_controller_y_inst/net50,233.62µm
wave_controller_x_inst/net38,233.21µm
cal_phase90_offset_y\[6\],233.16µm
wave_controller_x_inst/_0617_,233.11µm
raw_edge1_x\[7\],232.55µm
wave_controller_y_inst/net498,232.5µm
wave_controller_y_inst/net48,232.45µm
spi_regs_inst/net93,232.4µm
wave_controller_y_inst/net402,231.94µm
raw_edge3_y\[5\],231.38µm
wave_controller_x_inst/_1246_,230.92µm
wave_controller_y_inst/net357,230.92µm
spi_regs_inst/reg_wr_data\[0\],230.72µm
cal_phase90_offset_x\[16\],230.31µm
wave_controller_y_inst/_0722_,229.75µm
cfg_phase90_offset_y\[18\],229.19µm
state_o\[0\],228.07µm
raw_edge2_y\[13\],227.46µm
wave_controller_y_inst/net353,227.05µm
raw_edge1_x\[14\],226.54µm
spi_regs_inst/reg_wr_data\[1\],225.88µm
spi_regs_inst/net29,225.83µm
wave_controller_y_inst/net324,225.78µm
spi_regs_inst/_0226_,225.22µm
clknet_leaf_24_clk,224.91µm
spi_regs_inst/net185,224.82µm
wave_controller_y_inst/net407,224.81µm
cfg_phase270_offset_y\[1\],224.61µm
net444,224.2µm
cfg_phase270_offset_x\[16\],224.15µm
cfg_f_MEMS_fcw_x\[13\],223.69µm
raw_edge1_x\[20\],223.49µm
spi_regs_inst/_0642_,223.18µm
spi_regs_inst/_0212_,222.98µm
spi_regs_inst/net41,222.93µm
net515,222.52µm
cfg_phase270_offset_y\[7\],222.42µm
spi_regs_inst/net78,222.42µm
spi_regs_inst/net278,222.37µm
spi_regs_inst/net32,222.32µm
wave_controller_y_inst/_1238_,221.6µm
wave_controller_y_inst/net403,221.25µm
net582,220.84µm
wave_controller_x_inst/net371,220.33µm
net533,220.33µm
wave_controller_y_inst/net503,220.18µm
spi_regs_inst/net335,219.82µm
votes_in_phase_y\[2\],219.72µm
spi_regs_inst/net20,219.48µm
cfg_phase90_offset_x\[19\],219.06µm
cfg_f_MEMS_fcw_x\[0\],219.01µm
votes_in_phase_y\[3\],218.92µm
clknet_leaf_32_clk,218.6µm
wave_controller_x_inst/net325,218.4µm
raw_edge3_x\[7\],218.22µm
spi_regs_inst/net468,218.09µm
raw_edge1_y\[11\],218.04µm
cfg_phase270_offset_x\[20\],217.99µm
raw_edge2_x\[19\],217.53µm
wave_controller_y_inst/net509,217.07µm
raw_edge1_y\[20\],216.97µm
raw_edge1_x\[18\],216.92µm
jitter_flag_x,216.41µm
phase_state_x\[0\],216.26µm
spi_regs_inst/reg_wr_data\[7\],216.21µm
cfg_phase0_offset_y\[2\],215.85µm
raw_edge3_x\[17\],215.8µm
raw_edge3_x\[3\],215.75µm
wave_controller_x_inst/net372,215.65µm
phase_state_x\[1\],215.6µm
wave_controller_x_inst/_1235_,215.19µm
spi_regs_inst/net565,215.19µm
clknet_leaf_26_clk,215.09µm
spi_regs_inst/net103,215.01µm
net496,214.53µm
spi_regs_inst/net104,214.27µm
spi_regs_inst/_0665_,214.12µm
wave_controller_x_inst/net390,213.56µm
spi_regs_inst/net80,213.51µm
wave_controller_y_inst/net505,213.51µm
spi_regs_inst/net82,213.41µm
wave_controller_y_inst/net351,213.15µm
wave_controller_x_inst/net68,213.1µm
wave_controller_x_inst/net374,213.05µm
spi_regs_inst/_0373_,212.9µm
wave_controller_x_inst/net369,212.54µm
spi_regs_inst/reg_wr_data\[5\],212.34µm
spi_regs_inst/net112,211.83µm
spi_regs_inst/net129,211.83µm
cfg_phase0_offset_x\[17\],211.78µm
raw_edge2_x\[14\],211.42µm
net389,211.37µm
wave_controller_x_inst/_0492_,211.22µm
cal_phase0_offset_y\[6\],211.17µm
spi_regs_inst/_0699_,210.81µm
spi_regs_inst/_0287_,210.1µm
cfg_phase90_offset_y\[19\],209.54µm
spi_regs_inst/net92,209.44µm
cfg_phase90_offset_x\[14\],209.36µm
cal_phase270_offset_x\[7\],208.93µm
spi_regs_inst/_0718_,208.93µm
raw_edge3_y\[13\],208.52µm
wave_controller_y_inst/_1235_,208.52µm
wave_controller_x_inst/net437,208.52µm
raw_edge1_x\[17\],207.96µm
spi_regs_inst/net21,207.91µm
spi_regs_inst/net22,207.91µm
spi_regs_inst/net31,207.91µm
wave_controller_y_inst/net354,207.91µm
spi_regs_inst/_0619_,207.5µm
wave_controller_y_inst/_1246_,207.45µm
cfg_phase270_offset_y\[12\],207.4µm
cfg_phase90_offset_y\[16\],207.4µm
raw_edge3_y\[7\],207.3µm
wave_controller_y_inst/_1086_,206.94µm
cfg_phase0_offset_x\[2\],206.84µm
cfg_phase90_offset_x\[6\],206.74µm
spi_regs_inst/_0615_,206.66µm
wave_controller_y_inst/net57,205.87µm
cfg_f_MEMS_fcw_x\[3\],205.82µm
signal_processor_y_inst/_046_,205.77µm
spi_regs_inst/net19,205.06µm
spi_regs_inst/net30,205.01µm
spi_regs_inst/_0297_,204.89µm
wave_controller_x_inst/phase_acc\[10\],204.65µm
cal_phase90_offset_x\[11\],204.5µm
spi_regs_inst/net18,204.5µm
spi_regs_inst/net106,204.45µm
spi_regs_inst/net183,204.45µm
cfg_phase270_offset_y\[9\],204.04µm
cal_phase90_offset_x\[5\],203.94µm
raw_edge1_x\[0\],203.94µm
spi_regs_inst/net89,203.84µm
cal_phase0_offset_x\[0\],203.68µm
signal_processor_y_inst/net196,203.63µm
wave_controller_y_inst/net555,203.48µm
cfg_f_MEMS_fcw_y\[12\],203.38µm
state_o\[1\],203.38µm
cal_phase90_offset_x\[15\],202.21µm
cal_phase90_offset_y\[0\],201.81µm
spi_regs_inst/net476,201.8µm
cfg_phase90_offset_y\[1\],201.65µm
spi_regs_inst/_0305_,201.6µm
cfg_phase0_offset_x\[14\],201.09µm
net612,200.63µm
spi_regs_inst/net107,200.58µm
spi_regs_inst/net239,200.58µm
wave_controller_y_inst/net558,200.58µm
wave_controller_y_inst/net607,200.02µm
net615,200.02µm
raw_edge1_y\[6\],199.97µm
spi_regs_inst/net224,199.61µm
clknet_leaf_8_clk,199µm
spi_regs_inst/_0719_,198.9µm
cfg_phase0_offset_y\[8\],198.34µm
net553,197.88µm
wave_controller_x_inst/phase_acc\[16\],197.47µm
wave_controller_x_inst/net376,197.32µm
wave_controller_x_inst/net69,197.17µm
cfg_phase0_offset_x\[8\],196.81µm
cfg_phase0_offset_x\[13\],196.66µm
phase_state_y\[0\],196.66µm
raw_edge3_x\[16\],196.66µm
clknet_leaf_33_clk,196.15µm
cal_phase90_offset_x\[14\],196.1µm
cfg_phase0_offset_y\[20\],196.1µm
cal_phase0_offset_x\[4\],196µm
spi_regs_inst/net105,195.64µm
wave_controller_y_inst/net506,194.62µm
wave_controller_y_inst/_1242_,194.47µm
spi_regs_inst/_0565_,194.22µm
clknet_leaf_55_clk,194.11µm
cfg_phase270_offset_y\[18\],194.01µm
wave_controller_x_inst/net426,193.91µm
raw_edge3_x\[15\],193.86µm
cfg_phase90_offset_y\[12\],193.81µm
cfg_f_MEMS_fcw_x\[12\],193.25µm
spi_regs_inst/reg_wr_data\[6\],193.25µm
wave_controller_x_inst/net71,193.25µm
clknet_leaf_57_clk,192.99µm
wave_controller_x_inst/net581,192.89µm
spi_regs_inst/net102,192.64µm
wave_controller_y_inst/_1245_,192.28µm
net547,192.23µm
net561,192.23µm
clknet_leaf_28_clk,191.77µm
wave_controller_x_inst/_1277_,191.62µm
cfg_phase0_offset_x\[6\],191.57µm
votes_out_phase_y\[1\],191.57µm
net577,191.52µm
spi_regs_inst/net131,191.16µm
votes_out_phase_y\[3\],190.89µm
cfg_phase0_offset_x\[10\],190.7µm
wave_controller_y_inst/net47,190.6µm
raw_edge2_x\[3\],190.55µm
cfg_phase0_offset_y\[15\],189.99µm
spi_regs_inst/net40,189.38µm
cfg_phase270_offset_x\[3\],189.28µm
clknet_leaf_48_clk,189.12µm
wave_controller_y_inst/net358,188.97µm
net579,188.97µm
clknet_leaf_58_clk,188.97µm
net543,188.92µm
cal_phase90_offset_x\[9\],188.87µm
wave_controller_y_inst/_1241_,188.36µm
cfg_phase0_offset_x\[3\],188.26µm
cal_dir_y,188.21µm
votes_in_phase_x\[2\],187.65µm
spi_regs_inst/net483,187.24µm
raw_edge2_y\[5\],187.04µm
wave_controller_x_inst/_1248_,186.78µm
wave_controller_x_inst/net66,186.63µm
spi_regs_inst/net113,186.13µm
wave_controller_y_inst/_1226_,186.12µm
wave_controller_y_inst/net355,186.07µm
cfg_phase90_offset_y\[6\],185.66µm
wave_controller_x_inst/net586,185.61µm
clknet_leaf_56_clk,185.56µm
cfg_phase270_offset_y\[19\],185.05µm
cal_phase90_offset_y\[9\],184.9µm
cfg_phase270_offset_x\[15\],184.44µm
wave_controller_y_inst/phase_acc\[17\],184.39µm
cal_phase270_offset_x\[5\],184.34µm
cfg_phase0_offset_y\[3\],184.34µm
raw_edge2_y\[1\],184.34µm
wave_controller_y_inst/net536,184.08µm
clknet_leaf_23_clk,183.93µm
spi_regs_inst/_0377_,183.72µm
net592,183.68µm
wave_controller_y_inst/_1239_,183.27µm
state_o\[2\],183.22µm
cfg_phase0_offset_x\[12\],182.76µm
cfg_f_MEMS_fcw_y\[3\],182.66µm
wave_controller_y_inst/net495,182.66µm
cfg_phase270_offset_x\[4\],182.61µm
spi_regs_inst/net474,182.15µm
clknet_leaf_12_clk,181.79µm
clknet_leaf_34_clk,181.69µm
wave_controller_x_inst/_1312_,181.54µm
wave_controller_x_inst/_1086_,181.28µm
wave_controller_x_inst/net359,181.13µm
wave_controller_y_inst/net508,181.03µm
net604,180.47µm
cfg_phase270_offset_y\[4\],180.42µm
raw_edge3_y\[6\],180.42µm
spi_regs_inst/_0232_,180.41µm
clknet_leaf_0_clk,180.11µm
wave_controller_x_inst/net373,180.01µm
cfg_phase90_offset_y\[3\],179.96µm
signal_processor_x_inst/net197,179.91µm
wave_controller_y_inst/net598,179.45µm
raw_edge3_y\[18\],179.4µm
cal_phase270_offset_y\[15\],179.25µm
spi_regs_inst/_0272_,179.1µm
cfg_phase270_offset_y\[13\],178.94µm
spi_regs_inst/_0667_,178.89µm
cfg_phase0_offset_y\[10\],178.79µm
cfg_phase270_offset_y\[15\],178.79µm
wave_controller_x_inst/net591,178.79µm
spi_regs_inst/_0484_,178.74µm
spi_regs_inst/net288,178.74µm
wave_controller_y_inst/net596,178.74µm
wave_controller_y_inst/net514,178.28µm
wave_controller_y_inst/_1227_,178.23µm
cal_phase90_offset_x\[20\],178.22µm
wave_controller_y_inst/net342,177.97µm
signal_processor_y_inst/_055_,177.92µm
wave_controller_x_inst/_1238_,177.87µm
net578,177.77µm
cfg_phase270_offset_y\[5\],177.72µm
spi_regs_inst/net272,177.67µm
cfg_phase0_offset_x\[16\],177.62µm
raw_edge2_x\[4\],177.57µm
wave_controller_x_inst/net315,177.57µm
net576,177.26µm
spi_regs_inst/net583,177.11µm
cal_phase270_offset_y\[17\],176.96µm
spi_regs_inst/net472,176.45µm
net572,176.14µm
cfg_phase0_offset_x\[18\],175.94µm
spi_regs_inst/_0679_,175.94µm
wave_controller_x_inst/_1305_,175.84µm
net550,175.53µm
cal_phase0_offset_y\[14\],175.33µm
votes_in_phase_y\[1\],175.28µm
clknet_leaf_25_clk,174.97µm
raw_edge2_x\[2\],174.87µm
cal_phase270_offset_y\[0\],174.82µm
net622,174.82µm
spi_regs_inst/net563,174.46µm
clknet_leaf_19_clk,174.41µm
