net,length_um
clknet_leaf_27_clk_regs,246.7µm
cfg_phase0_offset_y\[2\],246.55µm
cal_phase90_offset_y\[19\],246.45µm
spi_regs_inst/_0492_,245.94µm
wave_controller_x_inst/_1122_,245.48µm
cfg_phase90_offset_y\[2\],245.43µm
delay_wave_cycle_x\[5\],244.21µm
net957,243.34µm
cfg_phase0_offset_x\[20\],243.24µm
raw_edge1_y\[18\],243.24µm
cfg_phase270_offset_x\[16\],243.19µm
spi_regs_inst/_0228_,243.19µm
spi_regs_inst/net435,242.58µm
net982,241.97µm
cfg_f_MEMS_fcw_x\[4\],241.46µm
cfg_phase0_offset_y\[18\],240.34µm
cfg_phase90_offset_x\[16\],239.88µm
cfg_phase90_offset_x\[6\],239.73µm
cfg_phase90_offset_y\[7\],239.33µm
delaynet_1_clk,239.12µm
cal_phase90_offset_x\[13\],238.89µm
raw_edge1_y\[10\],237.92µm
raw_edge1_x\[10\],237.64µm
cfg_phase270_offset_y\[6\],236.98µm
raw_edge3_x\[10\],236.98µm
cfg_phase0_offset_y\[19\],236.93µm
bidir_out[7],236.74µm
spi_regs_inst/_0692_,235.5µm
spi_regs_inst/_0711_,235.4µm
raw_edge1_y\[9\],235.35µm
net845,234.99µm
wave_controller_y_inst/net644,234.89µm
cfg_phase90_offset_y\[18\],234.74µm
raw_edge3_y\[12\],234.69µm
analog[0],234.5µm
cfg_phase0_offset_y\[17\],234.13µm
cfg_phase270_offset_y\[5\],233.62µm
read_en,233.55µm
spi_regs_inst/net417,233.16µm
votes_out_phase_y\[1\],233.11µm
cal_phase90_offset_x\[6\],232.96µm
cal_phase90_offset_y\[13\],232.96µm
votes_in_phase_y\[3\],232.55µm
net951,231.99µm
cfg_phase270_offset_x\[8\],231.84µm
spi_regs_inst/net425,231.53µm
raw_edge1_x\[7\],231.48µm
net1554,231.39µm
cal_phase90_offset_x\[15\],231.38µm
net962,231.38µm
cal_phase90_offset_x\[14\],230.87µm
cfg_phase90_offset_x\[20\],230.31µm
cal_phase90_offset_y\[11\],230.21µm
cfg_phase0_offset_x\[18\],229.85µm
cal_phase270_offset_x\[15\],229.7µm
spi_regs_inst/spi_addr\[1\],229.19µm
