net,length_um
raw_edge3_y\[20\],238.25µm
spi_regs_inst/_0694_,238.15µm
wave_controller_y_inst/_1326_,238.15µm
net987,238.1µm
wave_controller_x_inst/net692,238.05µm
cfg_phase270_offset_x\[7\],237.59µm
cal_phase90_offset_y\[13\],237.54µm
spi_regs_inst/net421,237.44µm
net7,237.03µm
spi_regs_inst/_0271_,237.03µm
cfg_phase0_offset_x\[18\],236.42µm
cfg_phase0_offset_x\[0\],235.91µm
raw_edge3_x\[17\],235.86µm
net978,235.86µm
spi_regs_inst/net386,235.35µm
cfg_phase0_offset_y\[2\],234.94µm
raw_edge1_x\[17\],234.94µm
cfg_phase270_offset_y\[18\],234.84µm
latch_error_x,234.79µm
spi_regs_inst/net1113,234.64µm
cfg_phase270_offset_y\[7\],234.23µm
raw_edge3_y\[10\],233.67µm
spi_regs_inst/_0452_,233.16µm
cfg_phase90_offset_x\[1\],233.01µm
clknet_leaf_34_clk,232.75µm
net1115,232.55µm
cfg_phase270_offset_y\[20\],232.04µm
net988,231.84µm
spi_regs_inst/_0225_,231.38µm
wave_controller_y_inst/net641,230.82µm
cal_phase90_offset_y\[11\],230.74µm
cfg_phase90_offset_y\[16\],230.41µm
votes_in_phase_y\[2\],230.26µm
cal_phase90_offset_y\[19\],230.21µm
spi_regs_inst/_0228_,230µm
wave_controller_y_inst/_1208_,229.9µm
spi_regs_inst/net414,229.75µm
raw_edge1_y\[2\],229.34µm
cfg_phase90_offset_x\[12\],229.24µm
spi_regs_inst/_0655_,228.02µm
cfg_phase270_offset_x\[5\],227.97µm
spi_regs_inst/_0002_,226.95µm
cal_phase90_offset_y\[8\],226.29µm
net972,226.29µm
spi_regs_inst/net877,225.68µm
net859,225.32µm
wave_controller_y_inst/net656,224.66µm
net854,223.64µm
cfg_phase90_offset_y\[20\],223.49µm
cfg_phase90_offset_x\[20\],223.13µm
spi_regs_inst/_0207_,222.98µm
net856,222.93µm
cal_phase90_offset_x\[13\],222.42µm
cfg_phase0_offset_y\[17\],221.96µm
spi_regs_inst/net1119,221.91µm
net967,221.45µm
raw_edge1_y\[10\],221.35µm
spi_regs_inst/_0624_,221.35µm
spi_regs_inst/net385,220.89µm
clknet_leaf_57_clk,220.43µm
spi_regs_inst/_0492_,220.37µm
cfg_phase90_offset_x\[8\],220.23µm
spi_regs_inst/net1116,220.23µm
cfg_phase90_offset_y\[3\],220.18µm
cal_phase90_offset_x\[16\],220.08µm
raw_edge2_x\[6\],219.16µm
spi_regs_inst/net448,219.16µm
wave_controller_x_inst/net303,219.11µm
net974,219.11µm
raw_edge3_x\[15\],218.55µm
cfg_phase0_offset_y\[18\],217.99µm
cal_phase90_offset_x\[15\],217.94µm
cfg_phase90_offset_y\[19\],217.63µm
spi_regs_inst/net391,217.48µm
wave_controller_x_inst/_1251_,217.43µm
wave_controller_y_inst/net654,217.38µm
net12,217.33µm
raw_edge3_y\[16\],217.02µm
spi_regs_inst/net438,216.77µm
net869,216.72µm
net848,215.95µm
cfg_phase0_offset_x\[19\],215.7µm
cfg_phase0_offset_x\[3\],215.34µm
spi_regs_inst/net1117,215.19µm
spi_regs_inst/sclk_sync\[1\],214.58µm
raw_edge3_x\[10\],214.12µm
spi_regs_inst/_0294_,213.97µm
spi_regs_inst/net425,213.05µm
cal_phase270_offset_y\[11\],213.01µm
raw_edge1_y\[14\],212.85µm
net857,212.29µm
spi_regs_inst/net388,212.02µm
net867,211.88µm
raw_edge3_x\[11\],211.78µm
cfg_phase270_offset_y\[15\],211.37µm
net852,211.22µm
wave_controller_x_inst/net698,211.17µm
spi_regs_inst/net431,210.81µm
spi_regs_inst/net1118,210.71µm
cfg_phase270_offset_y\[5\],210.2µm
wave_controller_x_inst/_1227_,210.2µm
spi_regs_inst/_0377_,209.96µm
clknet_leaf_9_clk,209.79µm
spi_regs_inst/net1111,209.08µm
spi_regs_inst/_0227_,209.03µm
wave_controller_x_inst/_1216_,209.03µm
spi_regs_inst/_0693_,208.98µm
raw_edge3_x\[20\],208.88µm
spi_regs_inst/spi_addr\[1\],208.57µm
delay_wave_cycle_y\[1\],207.81µm
cfg_phase0_offset_x\[5\],206.84µm
net842,206.69µm
cfg_phase90_offset_y\[12\],206.28µm
cal_phase90_offset_y\[9\],206.13µm
raw_edge1_y\[9\],205.62µm
votes_in_phase_y\[3\],205.57µm
clknet_leaf_10_clk,205.26µm
cfg_phase0_offset_y\[20\],205.06µm
raw_edge1_x\[10\],205.06µm
votes_out_phase_x\[1\],205.06µm
clknet_leaf_5_clk,204.7µm
clknet_leaf_2_clk,204.65µm
wave_controller_y_inst/_0615_,204.5µm
cfg_phase0_offset_y\[16\],203.94µm
votes_out_phase_y\[3\],203.89µm
cal_phase90_offset_x\[14\],203.85µm
wave_controller_x_inst/_1326_,203.33µm
cal_start,203.28µm
clknet_leaf_28_clk,202.46µm
wave_controller_y_inst/_1227_,202.36µm
spi_regs_inst/_0716_,202µm
raw_edge3_y\[17\],201.24µm
spi_regs_inst/net401,200.63µm
wave_controller_x_inst/_1053_,200.58µm
spi_regs_inst/net379,200.43µm
spi_regs_inst/net459,200.02µm
cfg_phase90_offset_y\[2\],199.51µm
raw_edge3_x\[6\],199.51µm
spi_regs_inst/_0708_,199.5µm
clknet_leaf_58_clk,199.46µm
spi_regs_inst/net447,199.05µm
wave_controller_x_inst/_1205_,199µm
cfg_phase270_offset_y\[6\],197.78µm
spi_regs_inst/_0560_,197.78µm
net865,197.78µm
