net,length_um
cfg_f_MEMS_fcw_x\[4\],250.93µm
net966,250.93µm
net967,250.93µm
votes_in_phase_y\[2\],250.47µm
bidir_out[5],249.62µm
cfg_phase90_offset_x\[19\],249.3µm
net858,247.16µm
net975,246.55µm
net998,244.82µm
spi_regs_inst/net880,244.72µm
clknet_leaf_21_clk_regs,243.8µm
spi_regs_inst/_0214_,243.7µm
spi_regs_inst/net409,243.29µm
spi_regs_inst/net1118,243.29µm
net859,243.19µm
net849,243.09µm
net997,242.68µm
jitter_flag_x,242.58µm
cal_phase90_offset_x\[6\],242.53µm
spi_regs_inst/_0492_,242.16µm
spi_regs_inst/_0662_,242.07µm
raw_edge3_x\[10\],241.1µm
spi_regs_inst/net1119,240.9µm
clknet_leaf_12_clk_regs,239.93µm
raw_edge1_y\[14\],239.68µm
net992,239.27µm
cal_phase90_offset_x\[13\],239.02µm
bidir_out[7],237.91µm
spi_regs_inst/net382,237.78µm
cfg_phase0_offset_y\[19\],237.59µm
wave_controller_y_inst/net287,237.59µm
bidir_out[6],236.74µm
net848,236.47µm
net1161,236.42µm
cfg_phase90_offset_y\[19\],235.96µm
spi_regs_inst/net432,235.96µm
cfg_phase0_offset_x\[3\],235.86µm
wave_controller_x_inst/net299,235.86µm
cfg_phase90_offset_x\[6\],235.35µm
raw_edge1_y\[10\],234.43µm
cfg_phase0_offset_x\[2\],234.18µm
votes_out_phase_y\[1\],234.18µm
spi_regs_inst/_0294_,233.67µm
net982,233.57µm
spi_regs_inst/_0287_,233.56µm
spi_regs_inst/_0704_,233.38µm
raw_edge1_y\[20\],233.21µm
spi_regs_inst/net440,233.16µm
spi_regs_inst/net449,232.55µm
net862,232.45µm
net872,232.45µm
votes_in_phase_y\[3\],231.99µm
cal_phase90_offset_y\[11\],231.94µm
cfg_phase270_offset_y\[18\],231.48µm
raw_edge1_x\[10\],231.38µm
net993,231.38µm
spi_regs_inst/_0690_,231.07µm
cfg_phase90_offset_y\[18\],231.02µm
spi_regs_inst/_0227_,230.82µm
analog[1],230.32µm
cal_phase0_offset_y\[1\],229.75µm
spi_regs_inst/net883,229.7µm
comp_x,228.95µm
clknet_leaf_13_clk_regs,228.88µm
net868,228.68µm
net1561,228.37µm
delay_wave_cycle_x\[0\],228.07µm
cfg_phase0_offset_x\[6\],228.02µm
cal_phase90_offset_x\[14\],227.94µm
net980,227.79µm
analog[0],227.22µm
cal_phase270_offset_x\[15\],227µm
spi_regs_inst/net1113,226.95µm
spi_regs_inst/net381,226.44µm
raw_edge3_x\[13\],226.34µm
raw_edge3_x\[15\],226.34µm
raw_edge3_y\[7\],226.34µm
cfg_phase0_offset_x\[10\],226.29µm
cfg_phase270_offset_y\[5\],226.29µm
spi_regs_inst/net377,226.29µm
spi_regs_inst/spi_addr\[1\],225.83µm
net875,225.83µm
net864,225.78µm
spi_regs_inst/net404,225.32µm
cal_phase90_offset_y\[4\],225.12µm
cfg_phase90_offset_x\[20\],224.56µm
cal_phase270_offset_y\[11\],224.42µm
spi_regs_inst/_0655_,223.73µm
spi_regs_inst/net407,223.69µm
wave_controller_y_inst/_1221_,223.49µm
net854,222.42µm
wave_controller_y_inst/_1227_,221.96µm
wave_controller_x_inst/_1217_,221.81µm
read_en,221.72µm
cfg_phase90_offset_y\[2\],221.3µm
spi_regs_inst/_0271_,220.84µm
raw_edge1_y\[11\],220.79µm
net986,220.79µm
raw_edge1_y\[9\],220.74µm
wave_controller_y_inst/_1122_,220.74µm
wave_controller_y_inst/net656,220.69µm
clknet_leaf_31_clk_regs,220.38µm
raw_edge2_x\[6\],220.23µm
delay_wave_cycle_y\[1\],220.13µm
cal_phase90_offset_y\[8\],219.62µm
wave_controller_y_inst/_1326_,219.57µm
cal_phase270_offset_y\[14\],219.17µm
cfg_phase90_offset_x\[16\],219.11µm
cfg_phase270_offset_y\[12\],219.01µm
cfg_phase90_offset_y\[4\],218.96µm
cfg_phase0_offset_y\[20\],218.45µm
raw_edge3_y\[10\],218.04µm
wave_controller_x_inst/net705,218.04µm
spi_regs_inst/net396,217.38µm
cfg_phase0_offset_x\[19\],216.87µm
wave_controller_y_inst/_1213_,216.26µm
cal_phase90_offset_y\[13\],215.81µm
net867,215.75µm
wave_controller_y_inst/_1208_,215.24µm
cfg_phase270_offset_x\[20\],215.14µm
votes_in_phase_x\[2\],215.09µm
cal_phase90_offset_x\[15\],213.97µm
cfg_phase0_offset_y\[10\],213.97µm
raw_edge3_y\[16\],213.41µm
spi_regs_inst/net390,213.05µm
net976,212.34µm
spi_regs_inst/_0706_,211.83µm
cfg_phase90_offset_x\[5\],211.27µm
net866,210.61µm
cfg_phase0_offset_y\[18\],210.15µm
raw_edge1_x\[17\],210µm
votes_out_phase_x\[1\],209.59µm
wave_controller_y_inst/net645,209.59µm
net865,209.54µm
votes_out_phase_y\[3\],208.93µm
raw_edge3_x\[20\],208.47µm
cfg_phase0_offset_y\[17\],207.96µm
wave_controller_x_inst/net926,207.91µm
cfg_phase270_offset_y\[20\],207.76µm
raw_edge1_x\[7\],206.89µm
spi_regs_inst/_0228_,206.84µm
wave_controller_x_inst/_1227_,206.84µm
spi_regs_inst/_0427_,205.01µm
raw_edge3_y\[5\],204.65µm
cfg_phase90_offset_x\[4\],204.55µm
clknet_leaf_1_clk_regs,204.09µm
cfg_phase270_offset_x\[8\],204.04µm
spi_regs_inst/spi_addr\[2\],204.04µm
wave_controller_y_inst/net662,203.89µm
raw_edge3_y\[17\],203.53µm
net985,202.82µm
