net,length_um
spi_regs_inst/_0624_,246.45µm
net1217,245.63µm
comp_x,245.47µm
spi_regs_inst/spi_addr\[2\],245.33µm
votes_in_phase_x\[2\],244.92µm
spi_regs_inst/_0706_,244.36µm
cal_phase0_offset_y\[1\],244.26µm
cfg_phase0_offset_y\[18\],244.26µm
cal_phase90_offset_y\[19\],243.75µm
clknet_leaf_29_clk_regs,243.7µm
spi_regs_inst/net1092,243.14µm
cfg_phase270_offset_y\[20\],242.78µm
spi_regs_inst/net1095,242.63µm
cfg_phase90_offset_x\[6\],242.58µm
net962,242.12µm
raw_edge1_y\[9\],240.85µm
spi_regs_inst/net414,240.8µm
cfg_phase270_offset_x\[8\],240.39µm
cfg_phase0_offset_x\[3\],239.93µm
cal_phase270_offset_x\[15\],239.44µm
spi_regs_inst/net1093,238.81µm
cfg_phase0_offset_x\[16\],238.71µm
delaynet_1_clk,238.66µm
cal_phase90_offset_y\[11\],238.05µm
net853,238.05µm
cfg_phase90_offset_y\[19\],237.69µm
cfg_phase90_offset_y\[20\],237.08µm
spi_regs_inst/net1090,236.93µm
bidir_out[7],236.74µm
net844,235.25µm
raw_edge1_y\[10\],234.89µm
spi_regs_inst/_0693_,234.79µm
cal_phase90_offset_y\[3\],234.74µm
analog[0],234.5µm
spi_regs_inst/_0287_,234.28µm
spi_regs_inst/net363,233.16µm
spi_regs_inst/net451,233.01µm
net1558,232.78µm
net968,232.65µm
spi_regs_inst/net410,232.6µm
cfg_phase0_offset_y\[19\],232.45µm
read_en,232.05µm
spi_regs_inst/net413,231.58µm
spi_regs_inst/net419,231.43µm
net16,231.38µm
cfg_phase90_offset_x\[1\],230.92µm
net946,230.92µm
spi_regs_inst/_0492_,230.87µm
cfg_phase0_offset_x\[10\],230.77µm
cfg_phase0_offset_x\[17\],230.41µm
raw_edge2_y\[13\],229.9µm
net847,229.8µm
wave_controller_y_inst/net623,229.7µm
delaynet_0_clk,229.04µm
cal_phase270_offset_y\[14\],228.53µm
net856,227.56µm
raw_edge1_y\[11\],227.46µm
spi_regs_inst/_0704_,227.46µm
cal_phase90_offset_y\[13\],227.28µm
spi_regs_inst/net396,227.27µm
cal_phase90_offset_x\[14\],227µm
cal_phase90_offset_x\[15\],226.9µm
spi_regs_inst/_0271_,226.44µm
cfg_phase270_offset_y\[15\],225.93µm
spi_regs_inst/net430,225.78µm
cfg_phase270_offset_y\[18\],225.12µm
votes_in_phase_y\[3\],225.12µm
clknet_leaf_10_clk_regs,224.66µm
wave_controller_x_inst/_1205_,224.25µm
raw_edge3_y\[20\],224.1µm
spi_regs_inst/_0655_,223.49µm
net842,223.12µm
cal_phase90_offset_x\[6\],222.98µm
raw_edge3_x\[20\],222.52µm
votes_out_phase_y\[1\],222.47µm
net954,222.42µm
cal_phase270_offset_y\[11\],222.37µm
cfg_phase0_offset_x\[20\],221.86µm
wave_controller_x_inst/net282,221.2µm
spi_regs_inst/net999,220.79µm
cal_phase90_offset_y\[8\],220.34µm
cfg_f_MEMS_fcw_y\[0\],219.72µm
net958,219.62µm
cfg_phase90_offset_x\[16\],219.57µm
spi_regs_inst/net358,219.26µm
spi_regs_inst/_0207_,219.21µm
wave_controller_x_inst/_1227_,219.21µm
raw_edge1_y\[20\],219.11µm
spi_regs_inst/net455,219.06µm
wave_controller_y_inst/net633,219.06µm
cfg_phase90_offset_y\[7\],219.01µm
analog[1],218.62µm
wave_controller_y_inst/_1217_,218.55µm
spi_regs_inst/net1094,218.5µm
cfg_phase90_offset_y\[4\],217.94µm
spi_regs_inst/net292,217.53µm
votes_out_phase_y\[3\],217.33µm
cfg_phase0_offset_y\[17\],216.92µm
raw_edge1_x\[10\],216.92µm
spi_regs_inst/net361,215.9µm
wave_controller_y_inst/net270,215.6µm
raw_edge3_y\[17\],215.44µm
spi_regs_inst/net388,215.19µm
boot_complete,214.63µm
delay_wave_cycle_y\[1\],214.53µm
raw_edge3_x\[15\],214.48µm
spi_regs_inst/net377,214.35µm
cfg_phase90_offset_x\[20\],213.51µm
wave_controller_x_inst/_1213_,213.51µm
clknet_leaf_4_clk_regs,212.95µm
clknet_leaf_11_clk_regs,212.95µm
cal_phase0_offset_y\[8\],212.9µm
net828,212.85µm
wave_controller_y_inst/_1225_,212.49µm
clknet_leaf_46_clk_regs,212.49µm
cfg_phase90_offset_x\[12\],212.34µm
cfg_phase0_offset_y\[10\],211.12µm
raw_edge1_y\[3\],210.86µm
raw_edge2_x\[6\],210.71µm
cfg_phase0_offset_y\[20\],210.66µm
spi_regs_inst/net1102,210.66µm
spi_regs_inst/net1021,210.1µm
spi_regs_inst/_0210_,209.64µm
raw_edge3_x\[13\],209.03µm
raw_edge3_y\[5\],208.98µm
cfg_phase90_offset_y\[16\],208.93µm
spi_regs_inst/net391,208.88µm
spi_regs_inst/net406,208.88µm
delaynet_2_clk,208.88µm
raw_edge3_y\[16\],208.52µm
spi_regs_inst/net422,208.47µm
cfg_phase270_offset_x\[5\],208.08µm
cfg_phase0_offset_y\[7\],207.91µm
raw_edge3_x\[5\],207.86µm
wave_controller_y_inst/_1221_,207.65µm
spi_regs_inst/net392,207.53µm
cfg_phase0_offset_x\[19\],207.3µm
spi_regs_inst/spi_addr\[3\],207.3µm
raw_edge1_x\[7\],206.84µm
spi_regs_inst/_0690_,206.23µm
wave_controller_y_inst/_1216_,205.82µm
wave_controller_y_inst/_1208_,205.67µm
spi_regs_inst/net397,205.28µm
raw_edge3_x\[18\],204.5µm
wave_controller_y_inst/net640,204.5µm
wave_controller_x_inst/net683,204.45µm
net833,204.09µm
net859,203.94µm
wave_controller_x_inst/wave_cycle_cnt\[5\],203.58µm
wave_controller_x_inst/net685,202.97µm
raw_edge3_y\[7\],202.87µm
net969,202.82µm
wave_controller_y_inst/_1205_,202.77µm
wave_controller_x_inst/net670,202.77µm
spi_regs_inst/_0220_,202.73µm
clknet_leaf_49_clk_regs,202.36µm
clknet_leaf_35_clk_regs,202.31µm
votes_out_phase_x\[1\],201.75µm
clknet_leaf_19_clk_regs,201.24µm
raw_edge1_x\[17\],201.09µm
delay_wave_cycle_x\[0\],200.58µm
spi_regs_inst/_0507_,200.48µm
net961,200.39µm
spi_regs_inst/_0682_,200.3µm
net846,200.02µm
wave_controller_x_inst/_1217_,199.92µm
net837,199.56µm
clknet_leaf_27_clk_regs,199.56µm
net857,199.51µm
cfg_phase270_offset_y\[12\],199.46µm
cal_phase90_offset_y\[4\],198.85µm
spi_regs_inst/_0227_,197.32µm
spi_regs_inst/net411,197.22µm
clknet_leaf_2_clk_regs,196.96µm
net835,196.86µm
raw_edge1_x\[1\],196.76µm
spi_regs_inst/_0724_,196.76µm
wave_controller_y_inst/_1213_,196.71µm
wave_controller_y_inst/_1326_,196.66µm
spi_regs_inst/_0711_,196.61µm
net845,195.64µm
cfg_phase0_offset_x\[5\],195.54µm
net976,195.49µm
cfg_phase270_offset_x\[20\],195.44µm
cfg_phase90_offset_x\[5\],195.08µm
spi_regs_inst/_0563_,193.96µm
spi_regs_inst/_0675_,193.49µm
cal_phase90_offset_y\[9\],193.42µm
clknet_leaf_33_clk_regs,193.4µm
cfg_phase0_offset_y\[0\],193.35µm
spi_regs_inst/_0214_,193.25µm
spi_regs_inst/_0713_,192.28µm
clknet_leaf_28_clk_regs,191.77µm
net1552,191.52µm
bidir_out[4],191.38µm
cfg_phase90_offset_y\[5\],191.06µm
spi_regs_inst/net384,190.7µm
wave_controller_y_inst/_1251_,190.6µm
cfg_phase0_offset_x\[2\],190.55µm
raw_edge2_x\[20\],190.5µm
wave_controller_x_inst/_1218_,190.45µm
clknet_leaf_0_clk_regs,190.09µm
