net,length_um
net716,161.28µm
net519,160.32µm
net190,160.16µm
net497,160.16µm
net330,159.65µm
net524,159.65µm
net694,159.09µm
net320,158.53µm
_0299_,158.48µm
net311,158.22µm
net443,158.02µm
net376,157.97µm
net763,157.97µm
net774,157.97µm
net552,157.41µm
net565,156.9µm
net581,156.85µm
net442,156.34µm
net277,156.34µm
net64,156.29µm
net380,155.27µm
net202,155.22µm
spi_addr\[0\],154.71µm
net725,154.61µm
clknet_leaf_9_clk,154.3µm
net495,154.15µm
_0601_,153.54µm
net112,153.44µm
net434,152.93µm
clknet_leaf_1_clk,152.62µm
net445,152.42µm
net440,152.37µm
net221,152.32µm
net448,151.86µm
net538,151.86µm
clknet_leaf_12_clk,151.6µm
net706,151.3µm
net597,151.2µm
_0582_,150.74µm
_0639_,150.69µm
_0606_,150.64µm
_0655_,150.64µm
net366,150.64µm
clknet_leaf_15_clk,150.43µm
_0599_,149.62µm
net408,149.62µm
clknet_leaf_5_clk,149.26µm
net455,149.06µm
net886,149.06µm
net773,148.6µm
net328,148.45µm
net563,148.09µm
net606,147.53µm
net548,147.43µm
net726,147.43µm
net492,147.33µm
_0320_,147.18µm
_0604_,146.72µm
_0266_,146.16µm
net489,144.73µm
clknet_leaf_3_clk,144.73µm
_0495_,144.63µm
net424,144.58µm
net569,144.58µm
net589,144.53µm
clknet_leaf_8_clk,144.27µm
_0283_,143.97µm
net57,143.97µm
net728,143.97µm
_0551_,143.46µm
net534,143.46µm
net566,143.46µm
net365,142.9µm
net400,142.34µm
_0325_,142.32µm
net52,142.24µm
net160,142.24µm
net152,141.73µm
reg_wr_data\[7\],141.73µm
_0498_,141.22µm
net307,140.66µm
clknet_leaf_18_clk,140.25µm
net367,140.2µm
net390,140.15µm
net163,140µm
net717,139.54µm
net586,139.49µm
_0518_,139.03µm
net372,138.93µm
_0569_,138.47µm
rx_shift\[3\],138.42µm
_0573_,138.32µm
net500,137.81µm
net171,137.25µm
net289,136.13µm
net502,136.08µm
net363,135.77µm
_0627_,135.67µm
net3,135.01µm
net697,134.96µm
net317,134.45µm
net546,134.45µm
net881,134.04µm
_0619_,133.99µm
net68,133.89µm
net88,133.84µm
net84,132.77µm
net344,132.31µm
net733,132.21µm
net74,132.16µm
net490,132.16µm
net494,132.16µm
net176,131.8µm
clknet_leaf_0_clk,131.8µm
_0571_,131.75µm
net72,131.75µm
_0642_,131.6µm
_0701_,131.6µm
net76,131.6µm
net498,131.14µm
net484,131.09µm
net493,131.09µm
net250,131.04µm
net357,130.63µm
net102,130.48µm
_0678_,129.46µm
_0704_,129.36µm
net65,129.36µm
clknet_leaf_11_clk,129.15µm
_0396_,128.8µm
_0340_,128.38µm
_0583_,127.73µm
net750,127.68µm
net547,127.32µm
_0305_,127.17µm
net16,127.17µm
_0603_,126.71µm
net578,126.66µm
_0233_,126.56µm
net287,126.56µm
net300,126.56µm
net447,126.1µm
_0494_,126.05µm
net384,126.05µm
net153,126.05µm
mosi_sync\[1\],125.54µm
net219,125.54µm
net601,125.54µm
net396,125.44µm
net760,124.98µm
net491,124.93µm
net371,123.86µm
net405,123.81µm
net261,123.81µm
net719,123.2µm
_0566_,122.84µm
_0465_,122.79µm
net302,122.74µm
net754,122.69µm
_0308_,122.64µm
delay_wave_cycle_y[0],122.5µm
_0680_,122.08µm
net607,121.62µm
clknet_leaf_19_clk,121.26µm
_0496_,121.11µm
net428,121.11µm
net135,121.11µm
_0369_,121.06µm
_0417_,121.01µm
net764,121.01µm
_0403_,120.96µm
net128,120.96µm
clknet_leaf_13_clk,120.14µm
clknet_leaf_2_clk,120.04µm
net94,119.89µm
net736,119.89µm
_0245_,119.84µm
net105,119.84µm
clknet_leaf_10_clk,119.43µm
net747,119.33µm
net591,118.82µm
_0317_,118.72µm
net406,118.16µm
clknet_leaf_14_clk,117.95µm
_0426_,117.6µm
net7,117.04µm
raw_edge1_y[8],116.95µm
net303,116.68µm
net438,116.53µm
net243,116.48µm
raw_edge1_y[10],116.39µm
net734,116.07µm
net505,115.51µm
net517,114.95µm
net449,114.85µm
net866,114.85µm
net290,114.8µm
net533,114.44µm
net154,114.29µm
_0584_,113.78µm
net572,113.78µm
reg_wr_data\[6\],113.73µm
_0337_,113.68µm
net394,113.68µm
net761,113.68µm
net762,113.22µm
net106,113.17µm
net724,112.71µm
net588,112.66µm
net137,112.56µm
net609,112.2µm
_0630_,112.15µm
net483,112.1µm
_0420_,112.05µm
_0574_,112.05µm
net383,111.49µm
net21,111.44µm
net199,111.44µm
_0230_,110.88µm
net288,110.88µm
reg_wr_data\[5\],110.32µm
reg_wr_en,109.96µm
net451,109.91µm
net187,109.91µm
_0579_,109.86µm
net228,109.86µm
net737,109.86µm
clknet_leaf_6_clk,109.45µm
net11,109.25µm
net718,108.74µm
raw_edge1_y[4],108.5µm
_0586_,108.13µm
net389,107.62µm
net710,107.62µm
net418,107.11µm
net297,107.01µm
_0207_,106.96µm
