net,length_um
_1086_,107.57µm
phase_acc\[0\],107.21µm
net349,107.16µm
net135,107.11µm
phase_acc\[16\],106.7µm
clknet_4_14_0_clk,106.6µm
net272,106.55µm
net424,106.5µm
net532,106.45µm
net421,105.89µm
wave_cycle_cnt\[0\],105.28µm
net657,104.92µm
net41,104.82µm
net405,104.82µm
net137,104.21µm
net170,104.21µm
net39,104.16µm
net502,104.16µm
_1259_,103.09µm
net527,103.04µm
wave_cycle_cnt\[5\],102.58µm
net278,101µm
net211,100.9µm
net409,100.8µm
net484,100.39µm
_1323_,100.34µm
wave_cycle_cnt\[1\],99.98µm
net659,99.73µm
net509,99.32µm
_1290_,99.27µm
net101,99.17µm
net134,99.12µm
net89,98.71µm
net485,98.66µm
net268,98.15µm
net116,98.1µm
_1266_,98.08µm
net323,97.59µm
net171,97.54µm
net540,97.54µm
net319,97.44µm
net226,96.98µm
_1353_,96.93µm
net117,96.93µm
_1471_,96.77µm
net391,95.86µm
net404,95.76µm
net339,95.35µm
phase_acc\[15\],95.3µm
net13,95.2µm
net115,94.64µm
net12,94.28µm
net109,94.18µm
net165,94.13µm
_1329_,93.67µm
_1352_,93.62µm
net72,93.62µm
net535,93.57µm
_0951_,93.52µm
net163,93.52µm
net393,93.52µm
net362,93.16µm
net40,93.11µm
net629,93.06µm
_0239_,93.01µm
_1258_,93.01µm
net408,92.96µm
_1210_,92.5µm
net177,92.5µm
net243,92.45µm
net114,92.4µm
net561,91.89µm
cfg_phase90_offset[17],91.655µm
net95,91.33µm
net468,90.97µm
net335,90.82µm
net545,90.77µm
net588,90.77µm
net547,90.72µm
net343,90.31µm
net507,90.26µm
wave_cycle_cnt\[3\],89.75µm
net233,89.7µm
net378,89.7µm
net542,89.7µm
net320,89.65µm
_1320_,89.19µm
net328,89.19µm
net475,89.09µm
net586,89.04µm
net331,88.63µm
net365,88.53µm
net497,88.48µm
_0474_,87.97µm
net132,87.97µm
net321,87.97µm
_1262_,87.51µm
net99,87.51µm
net374,87µm
net231,86.95µm
net317,86.85µm
net464,86.85µm
net401,86.34µm
net655,86.29µm
cfg_phase0_offset[15],86.005µm
net490,85.83µm
net533,85.27µm
capture_step\[2\],84.71µm
net88,84.66µm
net145,84.66µm
net436,84.66µm
net543,84.66µm
_1357_,84.56µm
_1475_,84.4µm
cfg_phase270_offset[17],84.275µm
net366,84.15µm
net384,84.1µm
net21,84µm
_1350_,83.54µm
net94,83.44µm
net423,82.93µm
net623,82.93µm
net361,82.47µm
_1502_,82.42µm
net229,82.42µm
net269,82.32µm
net264,81.91µm
net360,81.86µm
net182,81.4µm
net333,81.35µm
_0846_,81.3µm
net38,81.3µm
net266,81.3µm
